LJ031-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ039-0208|this was because of a defect in the scope which was recognized by the FBI agents and which they could have compensated for if they were aiming to hit a bull's-eye.|this was because of a defect in the scope which was recognized by the FBI agents and which they could have compensated for if they were aiming to hit a bull's-eye.
LJ039-0209|They were instead firing to determine how rapidly the weapon could be fired and the area within which three shots could be placed.|They were instead firing to determine how rapidly the weapon could be fired and the area within which three shots could be placed.
LJ039-0210|Frazier testified that while he could not tell when the defect occurred, but that a person familiar with the weapon could compensate for it.|Frazier testified that while he could not tell when the defect occurred, but that a person familiar with the weapon could compensate for it.
LJ039-0211|Moreover, the defect was one which would have assisted the assassin aiming at a target which was moving away.|Moreover, the defect was one which would have assisted the assassin aiming at a target which was moving away.
LJ039-0212|Frazier said, quote, The fact that the crosshairs are set high would actually compensate for any lead which had to be taken|Frazier said, quote, The fact that the crosshairs are set high would actually compensate for any lead which had to be taken
LJ039-0213|So that if you aimed with this weapon as it actually was received at the laboratory, it would not be necessary to take any lead whatsoever|So that if you aimed with this weapon as it actually was received at the laboratory, it would not be necessary to take any lead whatsoever
LJ039-0214|in order to hit the intended object. The scope would accomplish the lead for you, end quote,|in order to hit the intended object. The scope would accomplish the lead for you, end quote,
LJ039-0215|Frazier added that the scope would cause a slight miss to the right.|Frazier added that the scope would cause a slight miss to the right.
LJ039-0216|It should be noted, however, that the President's car was curving slightly to the right when the third shot was fired.|It should be noted, however, that the President's car was curving slightly to the right when the third shot was fired.
LJ039-0217|Based on these tests the experts agreed that the assassination rifle was an accurate weapon.|Based on these tests the experts agreed that the assassination rifle was an accurate weapon.
LJ039-0218|Simmons described it as, quote, quite accurate, end quote, in fact, as accurate as current military rifles.|Simmons described it as, quote, quite accurate, end quote, in fact, as accurate as current military rifles.
LJ039-0219|Frazier testified that the rifle was accurate, that it had less recoil than the average military rifle|Frazier testified that the rifle was accurate, that it had less recoil than the average military rifle
LJ039-0220|and that one would not have to be an expert marksman to have accomplished the assassination with the weapon which was used.|and that one would not have to be an expert marksman to have accomplished the assassination with the weapon which was used.
LJ039-0221|The various tests showed that the Mannlicher-Carcano was an accurate rifle and that the use of a four-power scope|The various tests showed that the Mannlicher-Carcano was an accurate rifle and that the use of a four-power scope
LJ039-0222|was a substantial aid to rapid, accurate firing.|was a substantial aid to rapid, accurate firing.
LJ039-0223|Oswald's Marine training in marksmanship, his other rifle experience and his established familiarity with this particular weapon|Oswald's Marine training in marksmanship, his other rifle experience and his established familiarity with this particular weapon
LJ039-0224|show that he possessed ample capability to commit the assassination.|show that he possessed ample capability to commit the assassination.
LJ039-0225|Based on the known facts of the assassination,|Based on the known facts of the assassination,
LJ039-0226|the Marine marksmanship experts, Major Anderson and Sergeant Zahm, concurred in the opinion that Oswald had the capability to fire three shots,|the Marine marksmanship experts, Major Anderson and Sergeant Zahm, concurred in the opinion that Oswald had the capability to fire three shots,
LJ039-0227|with two hits, within 4.8 and 5.6 seconds.|with two hits, within four point eight and five point six seconds.
LJ039-0228|Concerning the shots which struck the President in the back of the neck,|Concerning the shots which struck the President in the back of the neck,
LJ039-0229|Sergeant Zahm testified, quote,|Sergeant Zahm testified, quote,
LJ039-0230|With the equipment he [Oswald] had and with his ability I consider it a very easy shot, end quote.|With the equipment he [Oswald] had and with his ability I consider it a very easy shot, end quote.
LJ039-0231|Having fired this slot|Having fired this slot
LJ039-0232|the assassin was then required to hit the target one more time within a space of from 4.8 to 5.6 seconds.|the assassin was then required to hit the target one more time within a space of from four point eight to five point six seconds.
LJ039-0233|On the basis of Oswald's training and the accuracy of the weapon as established by the tests,|On the basis of Oswald's training and the accuracy of the weapon as established by the tests,
LJ039-0234|the Commission concluded that Oswald was capable of accomplishing this second hit even if there was an intervening shot which missed.|the Commission concluded that Oswald was capable of accomplishing this second hit even if there was an intervening shot which missed.
